Timestamp,Open_Price,Close_Price,High_Price,Low_Price,Volume
1535054100,107.53,107.505,107.58,107.345,864295
1535053800,107.65,107.521,107.666,107.5,595571
1535053500,107.71,107.65,107.725,107.6,386482
1535053200,107.76,107.705,107.81,107.705,135093
1535052900,107.81,107.775,107.825,107.73,164745
1535052600,107.89,107.815,107.91,107.815,108223
1535052300,107.795,107.89,107.89,107.795,89622
1535052000,107.86,107.79,107.88,107.78,195041
1535051700,107.89,107.855,107.92,107.845,124459
1535051400,107.855,107.9,107.94,107.845,101056
1535051100,107.93,107.875,107.94,107.87,72707
1535050800,107.92,107.91,107.98,107.9,111107
1535050500,107.895,107.915,107.93,107.85,125633
1535050200,107.93,107.89,107.93,107.82,95617
1535049900,108.03,107.94,108.03,107.91,109099
1535049600,107.93,108.035,108.035,107.91,135135
1535049300,107.98,107.945,107.98,107.913,109512
1535049000,108.028,107.97,108.028,107.945,131684
1535048700,108.01,108.025,108.06,108,106015
1535048400,108.01,108.01,108.065,107.99,113635
1535048100,108.125,108.01,108.13,108.01,140610
1535047800,108.145,108.124,108.18,108.12,268705
1535047500,108.111,108.15,108.15,108.105,314732
1535047200,108.025,108.11,108.125,108.02,147634
1535046900,108.03,108.02,108.04,108,82233
1535046600,108.01,108.035,108.04,108,116910
1535046300,107.95,108.015,108.025,107.925,163296
1535046000,107.83,107.93,107.93,107.83,139074
1535045700,107.815,107.82,107.83,107.735,109003
1535045400,107.84,107.81,107.85,107.775,84000
1535045100,107.775,107.825,107.83,107.75,90235
1535044800,107.7,107.725,107.77,107.685,83507
1535044500,107.62,107.705,107.72,107.595,83492
1535044200,107.67,107.61,107.67,107.58,94378
1535043900,107.67,107.67,107.73,107.61,84828
1535043600,107.65,107.67,107.7,107.62,114748
1535043300,107.62,107.63,107.69,107.62,54184
1535043000,107.73,107.62,107.74,107.59,111097
1535042700,107.731,107.713,107.75,107.67,75022
1535042400,107.7,107.73,107.81,107.7,113499
1535042100,107.72,107.695,107.735,107.68,81427
1535041800,107.715,107.69,107.736,107.66,99239
1535041500,107.637,107.695,107.71,107.63,90633
1535041200,107.52,107.62,107.64,107.52,151192
1535040900,107.35,107.51,107.515,107.305,154480
1535040600,107.335,107.329,107.38,107.32,102207
1535040300,107.37,107.325,107.4,107.31,131928
1535040000,107.29,107.39,107.42,107.29,101811
1535039700,107.32,107.264,107.42,107.264,153805
1535039400,107.31,107.3,107.38,107.27,155257
1535039100,107.27,107.315,107.34,107.27,78700
1535038800,107.23,107.26,107.345,107.1,221337
1535038500,107.44,107.24,107.44,107.215,186565
1535038200,107.405,107.44,107.52,107.35,132428
1535037900,107.357,107.4,107.526,107.29,346574
1535037600,107.305,107.38,107.41,107.21,216937
1535037300,107.64,107.265,107.64,107.265,286568
1535037000,107.67,107.65,107.75,107.62,662852
1535036700,107.89,107.72,107.89,107.62,222905
1535036400,107.86,107.93,107.93,107.822,105487
1535036100,108,107.89,108.01,107.84,202845
1535035800,108.08,107.995,108.08,107.97,110484
1535035500,108.12,108.1,108.12,108,167901
1535035200,108.15,108.11,108.17,108.08,152334
1535034900,108.1,108.135,108.168,108.1,146633
1535034600,108.13,108.115,108.15,108.07,168472
1535034300,108.02,108.11,108.11,107.97,156195
1535034000,107.82,108.01,108.07,107.82,185811
1535033700,108.06,107.815,108.11,107.815,271224
1535033400,107.91,108.04,108.175,107.91,337464
1535033100,107.93,107.9,107.965,107.85,150117
1535032800,107.99,107.91,108.01,107.88,265263
1535032500,108.07,107.97,108.07,107.87,218886
1535032200,108.07,108.06,108.07,107.915,324863
1535031900,107.84,108.04,108.07,107.83,377890
1535031600,107.95,107.82,108.02,107.76,388667
1535031300,107.46,107.95,107.975,107.44,550623
1535031000,107.24,107.436,107.44,106.96,788152
